adm1_nam,st_x,st_y
Al Karak,35.8043563028406,31.1593029428479
Madaba,35.7059443101263,31.6049729486336
Amman,36.3502017199441,31.6015750475704
Al Aqabah,35.350565058398,29.8090343163147
At Tafilah,35.6687482026891,30.7913142098587
Az Zarqa,36.8446222176778,31.8384739760246
Ma'an,36.5674757079387,30.3542390385291
Ajloun,35.7175449159062,32.3225664977146
Al Balqa,35.6332493421497,31.9033760717522
Irbid,35.8017289694463,32.5457834845896
Al Mafraq,37.9398612498163,32.3845883117767
Jarash,35.8665320176819,32.2611816961426
